RANDOM FOREST
DataTrain length:  3428
DataTest length:  988
Accuracy:  0.97975708502

Report:

             precision    recall  f1-score   support

        pos       0.96      0.97      0.96       163
        neg       1.00      0.97      0.98       316
        neu       0.98      0.99      0.98       509

avg / total       0.98      0.98      0.98       988


Confusion Matrix:

[[158   0   5]
43 - bah genius bar rt edatpost apple fan eric holder spotted at the genius store http t co ftlttlpn  ->  neu
44 - iphone s now reservation only if you want to buy it in an apple store tomorrow you have to reserve online after pm tonight  ->  neu
45 - cool apple steve jobs infographic http t co prb yx x mickh timeline history  ->  neu
46 - rt thejjmg my friend bm found this article on the ios battery drain problem http t co iqa ipvt apple ah mines being sinking  ->  neu
47 - not bad apple sells over million iphones in debut weekend bloomberg http t co avsl ygu smartphone sm rt vinodrad  ->  pos
48 - apple very disappointed hogwarts not choice on world clock on iphone  ->  neu
49 - wow great deals on refurbed ipad first gen models rt apple offers great deals on refurbished st gen ipads http t co ukwokbgd apple  ->  pos
50 - apple does ios rape your battery life or am i just using my phone a lot since getting it  ->  neg
51 - hey apple now i have ios my iphone doesn t include songs that are on compilation albums under the artist s name whaddupwitdat  ->  neg
52 - i m suspecting apple timed the health decline of my iphone perfectly with the iphone s release my battery is seriously ailing  ->  neg
53 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co zrbak kl pampershelloapps  ->  neu
54 - electricsoup it has to connect to apple to process commands which it is failing to do right now  ->  neg
55 - over the weekend apple sold more than iphones thats about iphones sold every second  ->  neu
56 - why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of apple  ->  neg
57 - updated my ios and started using cloud services pretty bad ass apple my iphone gs still the champ  ->  pos
58 - more twitter buzz for apple store http t co hlybd uc rt ji lee started out as a trip to the apple store turned into a spontaneou  ->  neu
59 - ios is nice and as it had to be thanks apple  ->  pos
60 - apple s siri is witchcraft what s next googleresearch yr lead lost  ->  pos
61 - apple needs to hurry up and release itunesmatch  ->  neg
62 - apple thanks apple for ios and losing all my contacts  ->  neg
63 - iphone can you please make the battery last longer thanks apple  ->  neu
64 - apple pls launch siri on iphone disappointed after spending hours for upgrading to ios  ->  neg
65 - disappointing visual merchandising apple simple but lacks elegance and sequence doesn t even tell us about siri http t co xv q gfi  ->  neg
66 - blackberry facebook u r really about to make me throw this blackberry in the trash an get an apple iphone facebook upload issues  ->  pos
67 - damn it apple whatchu done to my phone  ->  neg
68 - today s headline apple reports lower q earnings headline in months apple reports record q earnings  ->  neu
69 - if you sign up for iclould will you also get irain apple icloud  ->  neu
70 - the one iphone feature still missing since apple first showed it contacts pictures on the contacts list simple yet major updates miss  ->  neg
71 - hmmmm a lot of siri features don t work in canada location and directions seriously apple come on  ->  neg
72 - ios has one problem when i save someone in my contacts they don t show his nam becuz of the region apple apple  ->  pos
73 - iphone s in space http t co jinnhvwz this is amazing creative apple your products inspire people to do unbelievable things  ->  pos
74 - waiting at end of person line after checking in on time for my genius bar appt apple store i do not find this system genius fail  ->  neu
75 - go big or go home apple users here are some apps that make your s iphone s s super http t co t bqyim via mashable ms  ->  neu
76 - so yeah apple ios readinglists have changed my life nowicanspendevenmoretimeonmyphone  ->  pos
77 - apple why do you have a volume control in the fast app switcher buttons volume buttons you have them give me a brightness slider wtf  ->  neu
78 - azee v apple umber proper consolidation proper syncing stop losing my purchased items checkboxes that do what you think they will do  ->  neg
79 - ipad in perpetual restore loop after trying to upgrade to ios apple sux without steve  ->  neg
80 - i wish my ipod had a feature when it s on the dock to scroll the artist album and song title in huge font across it apple  ->  neu
81 - rt aplusk sending love light to everyone apple the entire jobs family today we lost a giant who will be missed even by those who  ->  neu
82 - had ma ipas not hours an i jailbroke it now its shagged itunes won t letme restore it apple sym  ->  neg
83 - what happened rt xcuntnuggetx never purchasing another item from apple  ->  neg
84 - saturdaycute shit that siri says apple designers knew what people were going to ask the new digital assistant http t co ecji iio  ->  neu
85 - iphone s mp camera its a sony http t co njthoi x sony apple apple iphone s cameras  ->  neu
86 - notleifgarrett apple you ll be able to afford that mansion one day  ->  neu
87 - what s up twitpeeps how s every apple user liking ios  ->  neu
88 - apple not happy with apple today i did the suggested software update and now nothing works  ->  neg
89 - novatyler i lost a lot that i paid for apple wordswfriends etc nothappy oh well poop happens  ->  neu
90 - siri i could have done with out its not that great iphone s i hear the iphone is coming out apple inc  ->  neu
91 - too many companies don t have apple management sec vid http bit ly pwlpgq entrepreneur startup scalecomputing pioniq  ->  neu
92 - damn you apple  ->  neg
93 - as a huge podcast fan i really feel like apple dropped the ball on this one http t co wvzprbci via carrypad  ->  neg
94 - if apple doesn t fix ios this week i m buying a droid emptythreats  ->  neg
95 - ibertaddigital tv ipad a briliant stevejobs produck http t co ohfly apple present http t co dbbwsdpx  ->  pos
96 - apple will be rolling out iphone s to more than more countries by the end of the month  ->  neu
97 - apple itunes is the worst program ever for such a great phone you make some awful software  ->  neg
98 - ios for iphone and ipad is here apple s best release yet http t co ilygz ox ios ios apple ipad tablet  ->  neu
99 - imessage is here wid ios rip bbm cultofmac apple  ->  neu
100 - rt bsdalton apple underplayed the power of the ipad via mitchjoel yup socapac  ->  neu
101 - nascarwriter right where i left it last week iphone s apple apple http t co ksjh bas  ->  neu
102 - what was apple thinking making siri totally dependent on a network connection siri att utter frustration  ->  neg
103 - apple sells record m iphone s phones in first days  ->  neu
104 - joelplane apple i hear you i ve had trouble with my now i ve even turned down brightness andshuttingdownrunningprograms nohelp  ->  neg
105 - rt radlerc yellowgate some iphone s users complain of yellow tint to screen http t co uaqrxtnk apple iphone s  ->  neg
106 - apple you got me i m now invested macbook pro next year time to get on selling more of my android gear  ->  pos
107 - oh my iphone is overcapacity huh apple won t let me be great  ->  neg
108 - rt dailydealchat bidmyway i like your app for the apple iphone very simple and easy to use  ->  neu
109 - like apple da fuck is this shit http t co nb dhlsg  ->  neg
110 - pissed with whoever designs keyboards with apple for not having a home and end key working on the cli i use those keys often  ->  neg
111 - rt phxguy oh just fuck you apple already iphone on schedule for summer launch http t co ofh ptag via bgr  ->  neg
112 - thank you apple for find my mac just located and wiped my stolen air smallvictory thievingbastards  ->  pos
113 - so apple the new imessage is great and all but is there a way to default to sms when i m not on wifi i have limited data  ->  neu
114 - samsung seeks iphone s ban in japan and australiapatent war intensifies with injunction sought against apple http t co qmwjtvnk  ->  neg
115 - lmao i think apple is onto something magical i am dying haha siri suggested where to find whores and where to hide a body lolol  ->  pos
116 - right migrate from older mbp to imac using ethernet not firewire thanks drew for saving me some apple http t co iahhagxy  ->  neu
117 - apple no siri support for canada sucks siri but loving the new iphone upgrade from my gs iphone s  ->  neu
118 - iphone s setup siri for your tweets http t co uecqhl k apple apple iphone siri  ->  neu
119 - in honor of steve jobs apple ripsteve http t co nyjhknou  ->  neu
120 - apple users get the official kalifornia cavi app on your apple device now on powered by apple download it free http t co hlgnvlrw  ->  neu
121 - apple iphone sold more because its in more retail duhhhh also woz is correct people dont want tech answer just simple child like ones ok  ->  neu
122 - i know a few others having same issue rt joelplane now on my second full charge of the day pissed apple  ->  neu
123 - rt crmstrategies great tech war of http t co jgrobp fastcompany profiles amazon apple google facebook on cnbc ht phil  ->  neu
124 - hilarious youtube video guy does a duet with apple s siri pretty much sums up the love affair http t co exbnqjy  ->  pos
125 - sorry apple but imessage will never be what bbm is disappointed  ->  neg
126 - iancollinsuk apple what s incredible is that people still buy into apple as world beater s not true anymore  ->  neu
127 - siri went down for a little while last night come on apple get your shit together on this launch  ->  neg
128 - st impressions of ios disappointed w upgrade restore lot of apps folders missing apple do how much time went in orging it fail  ->  neg
129 - say no to things what are you saying no to rules of success from steve jobs of apple prodmgmt management innovation  ->  neu
130 - evolution of apple ads http t co qtoqoz thesavoia stevejobs tech art  ->  neu
131 - iphone s siri doesn t work for shit apple  ->  neg
132 - rt faithmcnally rhiannaraee hanging apple in tacoma listening to the beatles  ->  neu
133 - video siri also gets angry http t co ksx xzor chrisvoss apple apple siri iphone s ai  ->  neu
134 - will apple s mac ever properly be used in the financial markets or is it purely a creatives device shift from ibm to mac finpanther  ->  neu
135 - or hide it rt lucasblack dear apple re newsstand don t advertise magazines for free they re not free alsoallow us to remove the app  ->  neu
136 - once again getting great customer service from the apple store at millenia mall  ->  pos
137 - video siri also gets angry http t co tzigd b chrisvoss apple apple siri iphone s ai  ->  neu
138 - hmm it seems i should have checked the identity of apple first  ->  neu
139 - rt timjwdowning ios is a great system but it s taken all day to download apple  ->  neu
140 - asked siri is she dreams of electric sleep was disappointed that she didn t have a snippy answer missed opportunity apple  ->  neg
141 - by far the worst experience upgrading out of any version of ios apple ios  ->  neg
142 - apple underplayed the power of the ipad via mitchjoel yup socapac  ->  neu
143 - itunes is apple s worst product worse than the newton or the hockey puck mouse it s utterly painful to use  ->  neg
144 - cat accusing tiger for roaring samsung on apple  ->  neu
145 - i am so done with att and apple s profitering and lack of customer service so fucking down with both  ->  neg
146 - apparently fuzzball crashes on ios congratulations apple on another incompatible upgrade  ->  neg
147 - thanks to a minute wait on hold half an hour actually talking to someone the apple tech decides to send me an email to fix my phone  ->  neg
148 - hey apple could you hook the voice memos app on the iphone up with fine scrubbing journalists need love too  ->  neu
149 - shit shit shit ios update ate all my apps data and media just like apple said it would this is going to take some time to rebuild  ->  neg
150 - love apple downloads hours and i pad now wonky ripstevejobs thenonsensepersists neednewipadguide fatfuckingchance  ->  neu
151 - iphone s first weekend sales top four million http t co o zqny k via apple  ->  neu
152 - wow apple sold million iphone s in a single weekend http t co wdlhzsza  ->  neu
153 - apple ios is all well and good and has nice new features but i m still waiting on an app that will go to work for me  ->  neu
154 - dear apple your staff at the little rock store answered my first questions with i don t know they weren t hard questions  ->  neu
155 - now who can guarantee that apple hd nothing do with blackberry rim server failure days after over million iphone s sold in days  ->  neu
156 - rickysinghpt got a new backside for my eye phone v impressed with apple  ->  pos
157 - i just told my apple s she was a stupid bitch and her reply was if you insist lol  ->  neu
158 - apple you re killing me excited about ios no longer tragic battery drain genius bar wants to replace the battery really  ->  neg
159 - coatgal apple paul had a chat with an advisor explained the problem cost repair but wait for it drumroll  ->  neu
160 - alexlindsay my wife upgraded her iphone i think siri alone is worth the upgrade looking forward to apple continuing to enhance siri  ->  pos
161 - apple appstore ihelpline when r u going to provide the ability to password protect ipad email  ->  neu
162 - apple you can suck it you and your fucking iphones better be glad it s all i like cause the service is fucking terrible  ->  neg
163 - thank you apple for making my ipad feel like new again with your new ios  ->  pos
164 - tell how steve jobs apple changed your life and will be donated to pancreatic cancer research pancan pan act http t co bwzganje  ->  neu
165 - i am crazy about ios the photo cropping is the best apple  ->  pos
166 - dear apple why did all my pdfs and epub files disappear from ibooks in my iphone post ios upgrade this hurts gs needsomethingtoread  ->  neg
167 - it would be great if apple would send my new phone frustrated  ->  neg
168 - rt reddeersteph joelplane apple i hear you i ve had trouble with my now i ve even turned down brightness andshuttingdownru  ->  neg
169 - suddenly lost all address book on gs iphone and someone was using my apple id it all fucked up  ->  neg
170 - goodbye evernote welcome notesinthecloud thx apple  ->  neu
171 - apple wtf why can we not add the newsstand to a folder we are already in your walled garden so please don t remind us of it  ->  neg
172 - why book apple genius bar if after hours you still can t be served disappointing apple store sydney thanksfornothing  ->  neg
173 - going to the apple store today to get this laptop situation figured out  ->  neu
174 - twalve apple you know the issues they have with dst and alarms p  ->  neg
175 - apple loving the new ios upgrade for the iphone  ->  pos
176 - rt katebetts another great james stewart story in today s ny times about importance of architecture in apple retail success http t  ->  pos
177 - apple http t co ycscg via donorschoose  ->  neu
178 - iphone watch siri work on the old iphone gizmodo http t co dgpwl r apple allow commands from iphone stop playin  ->  pos
179 - philipgrey dear apple why you gotta go change the way input type number is handled out of the blue  ->  neg
180 - fastcompany the great tech war of apple facebook google and amazon duking it out http t co hxsalzpv via aderricks  ->  neu
181 - iancollinsuk apple i like what you did there  ->  pos
182 - awesome service from the apple store in pc thanks chris  ->  pos
183 - hi apple household has iphones ipads minis apple tv airports timecapsule whats a usable iphoto sharing setup cc maddox  ->  neu
184 - pondering the ios update from the sounds of mikeferri s difficulties i may just hold off apple fix it  ->  neg
185 - siri says some weird things this is my next http t co h n casg via verge hasanga mohoisham apple siri lmfao  ->  neu
186 - um why no black people apple  ->  neu
187 - apple shares hit new all time intraday high http t co uy rrru win apple  ->  neu
188 - my schedule is busy spend unquality time with att apple recover iphone again the mo mobile i get the mo immobile i is sync not  ->  neg
189 - hello again iphone thank you apple although this should have never broken in the first place tsk  ->  neu
190 - chascouponmom apple i get they are busy w the new phone but i just wanted to buy a stylus they made me wait forever outside never  ->  neg
191 - rt rdingwell apple has a record quarter and because a bunch of professional guessers aka analysts wanted more its a disappointmen  ->  neu
192 - bestbuy or apple to purchase my imac ipad and printer studentdiscounts  ->  neu
193 - saw that apple is covered with msgs steve jobs nice to kno ppl r still saying thankyousteve  ->  neu
194 - gee i can t imagine that the maps app graphic from this samsung website will help their court cases vs apple http t co pmanmoah  ->  neu
195 - bisquiat apple the upgrade just slows down my phone so much it s stuck half the time uch thankfully no other damage sucks for you  ->  neg
196 - and apple i still have an old mbp from which i use which can t run lion i still like to sync it  ->  neu
197 - waited in line for nothing fucking genius apple called an app for john not jean stop fucking up my name im not a french boy pcam  ->  neg
198 - nytimes coach wants to see you and bring your ipad http t co j ftieng ipad apple set red red hut hut nfl wish i had an ipad  ->  pos
199 - loving these names google chases apple with ice cream sandwich http t co u lchmgd mobile  ->  neu
200 - but seriously apple finance me a damn phone you greedy bastards or santa get your jolly ass in gear and get us a s white plz  ->  neg
201 - i am now the proud owner of apple tv thanks to big bro steveeadie and family  ->  neu
202 - iphone s setup siri for your tweets http t co eyhmhstm apple apple iphone siri  ->  neu
203 - too bad i m not an apple junkie icloud apple ios  ->  neu
204 - upgrading my ipad to ios when apple said it could take a couple of hours to install and restore it they weren t kidding  ->  neu
205 - you know apple it s been almost a week since i paid for itunes match i would really like to use it any eta on a fix  ->  neg
206 - i wonder if the person who has apple is holding out for apple to buy it from them  ->  neu
207 - oh and prolly ganna be late to work bc apple has screwed me and my phone has my only alarm on it  ->  neg
208 - ok apple your accessories policy is out of hand i need a powered line in to use the mic are you kidding me  ->  neu
209 - mcp apple appstore why are you asking us apple don t read messages on twitter and apple aren t apple either  ->  neu
210 - brady i am surprised apple did not think of anticipate that  ->  neu
211 - pkedrosky apple i am just waiting for my conf email from icloud  ->  neu
212 - apple main office is nowplaying a milli lil wayne  ->  neu
213 - loving new technology from apple iphone s mac air and icloud are unreal technology  ->  pos
214 - apple ios geolocation suburbs with words drops map pins in other states please fix  ->  neg
215 - apple ios has been nothing but a pain in the ass no room for my music or photos or apps can i undo this garbage  ->  neg
216 - just had a look on ebay for iphone s and some have bids at well over some gb white they are delivered apple  ->  neu
217 - in less than an hour my post ios iphone has gone from to battery charge and the apple store folks have no solution for me  ->  neg
218 - siri is having a hard time remembering who my sister is contact card needs space for family info iphone s apple  ->  neg
219 - apple why isn t my itunes updating i just wanna update my iphone to ios then itunes says that it needs to update to do it then fails  ->  neg
220 - bored need a new intriguing app for my ipad any suggestions apple yyc gadget guy  ->  neu
221 - robert terpstra no worries bud ps they re saying that the s is having a lot of network issues right now i m apple for mac problems  ->  neg
222 - this is what will kill apple http t co jw z c rip apple  ->  neg
223 - bouquet for jobs apple store nagoya http t co pmecxpug  ->  neu
224 - loving ios awesome apple  ->  pos
225 - anyone else stuck in duped calendar mail battery sucking apple hell icloud and osx lion are a disappointment  ->  neg
226 - my friend bm found this article on the ios battery drain problem http t co zmx fkd apple  ->  neu
227 - rt circustk i m wit chu shaydiddy officially boycotting ups calling apple to curse them out next for using them wasting my t  ->  neg
228 - oh apple steve obviously had nothing to do with iphoto as it s the perfect opposite of insanely great get it fixed please  ->  neg
229 - apple i committed to your cloud storage idisk and now it s raining so soon no more idisk any plans for a new service for storage  ->  neg
230 - apple wow motorola just crushed your dreams  ->  neg
231 - apple ios upgrade done much better feature few more feature required  ->  pos
232 - fabi m not that i know of i think it is only on ios should get apple to make a desktop app  ->  neu
233 - mashable apple iphones r expensive most went w htc galaxy no customer loyalty w phone comp  ->  neg
234 - apple store towson waiting at genius bar huge crowd waiting for iphone s michaelmark nicolelil http t co x swech  ->  neu
235 - xwordy icloud was new i didn t need weather or stocks but they were there pre ios so i m not hopeful that this will help apple  ->  neu
236 - apple jilive danielpink apple sells million iphone s units in first weekend steve jobs brilliance lives on for ever iphone rva  ->  pos
237 - frustrated that i bought a new macbook pro from apple only to find it doesnt ship with media expensivepaperweight  ->  neg
238 - one would think the voice recognition on the apple tech support line would work a little better  ->  neg
239 - siri is cool but more importantly handy and funny apple please configure it for canada what s with the racism eh  ->  neu
240 - macbreak weekly twit via apple airplay in full hd on the finally leolaporte ihnatko alexlindsay  ->  neu
241 - said to have laid out the next years apple jobs last iphone is not the iphone s iphone g is magical http t co dxxklubp  ->  pos
242 - waiting on line apple store at west th street  ->  neu
243 - azee v apple umber appstore is well done so is itunes on the mobile devices i was talking about desktop app  ->  pos
244 - apple ios nonstop dropped calls mute button randomly activating person cant hear me pull phone from ear to be on a mobile me screen  ->  neg
245 - dear apple as a hoh deaf user can you please add options for stronger and longer vibrate for iphone s thank you hoh deaf ally  ->  neu
246 - tvnewschick apple oh no why not i want it to be love love love it s a lot of dough to spend otherwise  ->  neu
247 - zombiebomber have been on the phone with verizonwireless and apple pretty much ever since then really annoyed  ->  neg
248 - come to the dark side gretcheneclark hey apple if you send me a free iphone i will publicly and ceremoniously burn my blackberry  ->  pos
249 - apple expanded the app store to more than new countries in the december quarter  ->  neu
250 - the line at the apple is just stupid  ->  neg
251 - sigh apple store seems stumped what to do about my catastrophically bad battery life after upgrading to ios  ->  neg
252 - lisa marie shhhh the evil sith lords apple may hear you ha  ->  neg
253 - what s wrong with siri today apple  ->  neg
254 - rt terrystorch with twitter and apple partnership would be great if sms from to ios devices would use imessage  ->  neu
255 - i hate you apple for not sending toledooh bestbuy any iphone for verizon even after i pre ordered  ->  neg
256 - wiredinsider beautiful yes though it simply reminds me of apple s spinning wheel of death clock reinvented http t co tjcjaqfl  ->  neu
257 - do people loved steve check out this photo from apple store http t co jiqbgghc  ->  neu
258 - azrael rt davidegori and again mobileme is down issues when syncing accessing mail is this a good premise for icloud apple  ->  neg
259 - after being on hold with apple for the last mins i really like their music selection of on hold music white stripes ray lamontagne  ->  neu
260 - why doesn t apple icloud sync stickies they ve always been around just nothing every progressed w them why apple why gruber  ->  neg
261 - apple appstore mac ios ipad siri will siri be available for ipad  ->  neu
262 - hey apple if you send me a free iphone any version will do i will publicly and ceremoniously burn my blackberry  ->  pos
263 - blackberry does take better quality photos than apple iphone though i give them that photograherseye  ->  neg
264 - twalve too busy having slappy hissy fits with samsung apple  ->  neu
265 - apple ripsteve rt davepeck steve jobs and the seven rules of success http t co nlrldwy  ->  neu
266 - jarjartee apple that s really good makes you happy to pay the infamous apple tax  ->  neu
267 - speechtrans http t co tw szx on apple app store listed as the best bi directional speech to speech translator posts on twitter  ->  neu
268 - is it me or blackberry is begging ppl not to go apple iphone http t co x gdbuyk  ->  neu
269 - apple why does iphone plus ios equal half the battery life  ->  neg
270 - rt shaydiddy circustk ups apple both of them are bs how do u tell me go between a certain time only and the muh fuh is closed  ->  neg
271 - dear apple why you gotta go change the way input type number is handled out of the blue  ->  neg
272 - ford should have teamed up with apple instead of microsoft to make this sync system in my new focus car is sweet sync is epicfail  ->  neu
273 - apple has changed life  ->  pos
274 - apple domain fail open hrs late for walk in ppl store was empty and i only need a skin my screen you represent customer service fail  ->  neg
275 - great up close personal event apple tonight in regent st store  ->  pos
276 - stevejobs memorial at the leawood apple store http t co uvgb g  ->  neu
277 - waiting for items to copy in itunes after everything did copy goes on and on and on come on apple what the hell  ->  neg
278 - hanrahan apple don t say things you can t take back joel  ->  neu
279 - hey apple stop sending your automatically depreciate all iphones older than the s signal my iphone is dying rapidly processor wise  ->  neg
280 - fail i guess apple didnt notify these clowns that the iphone isnst out yet http t co ycdnt b  ->  neu
281 - thank you apple my new gf iphone s is great she does everything  ->  pos
282 - a court in sydney banned the sale of samsung s galaxy tab in australia over intellectual property infringement claims by apple ip wars  ->  neu
283 - apple siri is down  ->  pos
284 - while the improvements in apple mac os lion are great the full screen implementation on monitors is broken  ->  neu
285 - ipads replace bound playbooks on some n f l teams http t co uxawkwf apple nytimes  ->  pos
286 - create new folders from within your photo album in ios finally thanks apple that s been a thorn in my side for a while newfeature  ->  pos
287 - now apple won t let me use credit on itunes unless i have a credit card should have told me when i redeemed the cards sound fair to you  ->  neg
288 - i promise this iphone been at battery for the last hours i see you apple  ->  neu
289 - steve jobs tribute iphone s cases now available iphonecaseshttp t co hyuriiq stevejobstributecases ikaveri iamsrk apple  ->  neu
290 - rt edatpost apple fan eric holder spotted at the genius store http t co oshpyv g  ->  neu
291 - i hope apple will release an app for siri for us non apple s users apple iphone siri  ->  neu
292 - apple battery life suck on ios  ->  neg
293 - need apple help installing new ios on iphone and am stuck on the find my iphone screen i keep clicking next but it doesn t work  ->  neg
294 - have never had such poor customer service at apple before what happened apple store w others http t co gklxmui  ->  neg
295 - thanks apple my girlfriend likes siri more than me now  ->  neu
296 - apple thank you for sucking so much i cannot believe you would sell something online that isn t made  ->  neu
297 - loving my new iphone s thanks apple for ios  ->  pos
298 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co ndrpciy pampershelloapps  ->  neu
299 - apple good ipad  ->  pos
300 - dear apple imessage client for desktop please  ->  neu
301 - apple or microsoft buying out rim  ->  neu
302 - awesome documentary about how apple was created stevejobs apple apple http t co qetk ds  ->  neu
303 - stevejobs twitter overwhelmed by reaction to apple founder s death telegraph http t co tqf pjf  ->  neu
304 - salesperson at soho apple store it doesn t matter how many people are lined up out front they re not gonna get one iphone s  ->  neu
305 - rt hermy reddclay now that were done prasing apple s ios everyone go subscribe to notsosuperpro shamlessselfpromotion  ->  neu
306 - finally got my iphone s thanks apple stupid att learned my lesson  ->  pos
307 - hey apple why is siri not available for the mac  ->  neu
308 - iphone s ibm apple iphone s siri is not watson ibmwatson  ->  neu
309 - apple so why is siri only available on the iphone s http t co qzungylw  ->  neu
310 - notes for jobs apple store in palo alto downtown http t co bjjfq h  ->  neu
311 - had issues with siri reaching network today too many uses or my signal apple  ->  neg
312 - iphone s vs canon d mkii apple canon iphone http t co pvkqad  ->  neu
313 - video siri also gets angry http t co xx chzbn chrisvoss apple apple siri iphone s ai  ->  neu
314 - is apple s voice tech really as impressive as the net thinks it is http t co rbf cnx siri  ->  neu
315 - rt robertoafelipe apple predicts siri in in video the video is staged for september http t co tfnrp md  ->  neu
316 - adityasood apple quora i totally agree was talking w friends about that yesterday siri everywhere  ->  neu
317 - so cutting the cord makes podcasts even harder to manage no subscriptions wth apple http t co ld i x ios via carrypad  ->  neg
318 - apple can you get your iphone to stop vibrating when you get a text  ->  neu
319 - the iphone s is amazing siri s voice recognition is absolutely a step above previous attempts bravo apple  ->  pos
320 - too many iphones apple dcoult firstworldproblems http t co ck yffsy  ->  neu
321 - mad props to the apple employee that didn t charge me to replace the back plate on my iphone made my day  ->  pos
322 - well at least the apple store has amazing call waiting music need s  ->  pos
323 - rt talkyo ish dear apple can we get some afro american emoticons management  ->  neu
324 - mvm well if it told you what you did to it or how it happened it would be concrete evidence that apple is logging your life l  ->  neu
325 - dickcostolo says daily twitter signups have tripled since the new apple iphone s came out  ->  neu
326 - iphone s mp camera its a sony http t co x j hnzu sony apple apple iphone s cameras  ->  neu
327 - anyone else seeing missing signal bars on their iphone gs with an upgrade to ios cc applecanada apple forstall  ->  neg
328 - apple why don t you guys test your upgrades before you put them out hrs u guys wasted of my time yesterday thanks  ->  neg
329 - notleifgarrett apple wished their on hold music played pictures of you  ->  neu
330 - rim you made it too easy for me to switch to apple iphone see ya  ->  pos
331 - apple your service experience is really fucking slipping except for cute eyelash batting girlies apple store http t co dohdenmg  ->  neg
332 - still a line apple store hillsdale mall http t co wzvxnz e  ->  neu
333 - the new apple find my friends app is great except the part where you have to log in everytime get back to me when this is changed  ->  neu
334 - proof that my dad loves my sis more rt annacorinne woke up to my dad at my door w my new iphone he surprised me went to apple  ->  neu
335 - novatyler apple most of mine are gone too not recovered after i saved them b i upgraded my iphone soooo pissed  ->  neg
336 - is it me or does my iphone run slower since the ios update apple verizon  ->  neg
